,original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength
Liver_100dose_100kVp_1FBP_0-6mm,0.9923641644026525,0.10343164306739651,3.3767690589692014,32.647350064514434,35.48318576689957,35.45781205245219,36.20590263844085,37.613542049804025,2404.7984181615757,32.398060266732756,0.35642353407138716,2435.39945282159,1.0127249895163388,2419.760445514228,-50.0,1009.0,1697620284.0,4.498539466428099,107.0,3.8684639226452737,1181.0,313.3928001104608,158.49844573591025,42.0,-1017.0,2198.0,172.57806089087214,478.99807074482794,0.42665341769092113,555187784.1229666,0.08588754656321382,204317.39447656786,2620.7201831972225,5212092.183627138,25294.938313172705,1138.2861829451392,31.222931849554417,0.9463269672529188,3.1656931974835496,3.083973741323899,20.783054339438344,0.4442726478390662,0.38066498738334603,0.9962043993885248,0.9677870042096229,-0.2926944492111757,0.9593964305407172,0.3700487304636628,48.41338609343085,0.016379394906166807,7.494385930154397,0.9626227171288214,0.04734985750417686,96.8267721868617,5.1991569638964785,292.3772786986733,7.376668965948686,813.7925395323692,0.10998682788652105,7.801827488038631,635.481957021219,327.0014504833035,2618.135558859305,28.99864846600892,66497.77496959048,0.07224525756179605,0.004033812167386096,0.20295164912172306,616.8635650199874,0.0011493680723143021,492.16400324246865,0.07717116373832064,340.4660966749095,2658.754273070827,1.5686354318598197,3990.624398266392,0.005775517284069199,0.0042196128297664675,5.254207120575679,4904.184347418342,0.7673239210589362,0.8613845945917846,0.21332857720001142,0.8974229868838535,2412.706341477825,0.0039008942169190906,40.201525746980295,0.025557231879834896,436.1457712373739,3031.57215511761,2122.6961220597586,4053755.659885569,1.3136824290027063,0.006677660202788052,668.616020343293,0.4250578641724686,0.6775169604226239,2148.539461739247,0.004081460581695851,7.379757160653075,0.21259629679686445,2100.570850521495,0.10998025404588714,0.0014646859722092006,5922.86639958142,0.158618434767728,13.5509755051429
Liver_100dose_100kVp_2Safire_3mm,0.9937227034342153,0.4334630378080189,16.653699239651676,38.42011379763275,45.03515625,45.03515625,46.48827534188266,46.48827534188266,15607.838441848755,38.17893934923382,0.5438072735140388,5553.937050975825,0.3558428075526619,15696.069900512695,8.0,31.0,4335427.0,0.9691486924255365,12.0,3.649259715585192,83.0,7.219056539350032,19.172309615584957,19.0,-26.0,109.0,5.136392557119781,21.252153454675828,0.08550528492196158,7089193.170181274,0.5804332762420853,84.0765704652383,10.722951450622643,0.8031717009531092,0.20858620697020228,0.5301643107656466,0.38924103625385964,0.15407364451218314,0.3777060599700335,0.9872640673557329,0.24414909702072718,0.8130653031075888,0.8123004676433658,0.9895270504449157,0.9462477749162682,-0.02802176002686209,0.18533543359280977,0.3676522725160625,3.269201257235749,0.3405229354027005,1.927850620261569,0.18343503065090155,0.5175050518288469,6.538402514471498,1.5111224368532612,0.2298513367548766,5.1961135226005934,462.6328784248359,0.04819594524688363,32.610471380642764,5571.579018647776,0.22709433576554214,10.839254088967602,200.06469423898324,1976.4237941452234,21.021720404903288,0.10014234700373882,0.023178727758708582,0.25791346422312456,0.0030301530137338173,2652.2527464185714,0.5039531789630272,0.2892080176244888,11.439369240679836,7.732470791669709,77.45194275060965,0.8088155705982556,0.09754866834838696,2.879646679457366,2226.4894433527807,0.3988216397447263,0.5407534438683517,3.151910129309594,0.6325258957381036,7.468929241276128,0.06112900340363273,71.64670658682634,0.42902219513069667,1.188712395568145,10.51497005988024,309231.55089820357,2992329.0658682636,32906.27413672655,0.15864437791084499,46.137724550898206,0.27627379970597726,0.5323717868933304,4.973097735546881,0.09738285021464753,3.7726828532660823,0.017397645588082093,305927.7106386031,53.61798070637004,0.0006684755154520472,5.6557564879748075,0.0051139083707563105,0.01185241910455901
Liver_100dose_100kVp_2Safire_1-5mm,0.957848174795079,0.34844743353774293,11.978124524770806,34.375700240229676,35.941847563112276,38.65346152533593,38.74394208254631,39.407403310405336,9068.695037841797,32.926701732406755,0.5724687123908577,3673.631304025591,0.4050892977100105,9105.486534118652,-24.0,1023.0,2796539744.0,3.8706206651164394,104.0,3.609600952622911,1159.0,332.9143154902879,161.05611924216575,38.0,-985.0,2144.0,196.89712352425073,501.1022907466157,0.2469858785770027,2286419590.654541,0.16546574881352524,225164.4322461591,2598.8439866427866,6287546.8838345455,16881.645759366682,1310.9005439530677,42.64311454153935,0.9366575081944546,2.9642829319860486,2.71436098224937,33.37723309026963,0.6005540187671606,0.5740329430134993,0.9946990316356076,0.9705109202164409,-0.366261418941475,0.9659561726323476,0.3647875485973374,47.76644755878365,0.07372954363201586,6.159464584144709,0.9615700803878864,0.2248282867792596,95.53289511756726,4.678364573194843,338.38591462365184,7.5030884036509775,578.5002244769687,0.051943990704585496,39.22300152792687,1842.7920445362306,360.28492738076335,2565.749842866122,126.25312022986442,267897.6828589387,0.775894639551563,0.008316327951924402,0.13974122130918185,483.4631119157614,0.0006514847384400047,801.5953553594571,0.10506408347453905,403.84047471983206,2729.89762950438,3.4842879207582973,7998.737277365619,0.02440623633943506,0.008779199595689983,5.525053693922657,4435.492259284487,0.5788495573123446,0.6796540982587496,1.233632721740972,0.7869156020567089,2224.5984386569885,0.0069692408713932594,34.5034225264468,0.021470704745766518,322.69661317609757,3497.9875544492843,11309.970752955818,20941220.481642812,15.584828360743026,0.005384652510958174,861.7069072806472,0.5362208508280318,0.759639667201273,2756.8295503558907,0.0025294505768555394,6.975709005655539,0.14429379545658616,11261.941626727188,0.23055764303315385,0.000785631362478487,4628.644562795814,0.21362705820809155,8.112061777099665
Liver_100dose_120kVp_2Safire_3mm,0.9757725126497336,0.49672843853550885,16.901248602193792,34.02512779824585,35.7803663919282,38.815564020813945,37.96230414035127,39.81377319024826,12726.655488967896,33.20078444492265,0.6821442571833186,3864.417936199427,0.3036475639298399,12795.26481628418,-1.0,856.0,1389085336.0,3.7219859566761877,155.0,4.203742036076554,969.0,275.0100580877625,146.43041533546327,34.0,-976.0,1945.0,162.9166236920826,421.3299096664664,0.03420204297167841,2271401243.0079346,0.18882519980810258,156077.02624423642,2435.870884933313,2832317.9090653053,8311.912734345418,818.9942424073247,42.71947435375508,0.8977237019944785,3.0526164594143492,2.7509001280651924,32.79642254489795,0.619846598412365,0.5926080666475942,0.9935584169841023,0.9669129762272916,-0.34535879960060023,0.9502891899951119,0.29946086671310984,47.345250315100216,0.10408388388983104,5.834829721984376,0.9442773957175128,0.28471750911736887,94.69050063020039,4.45079154289281,215.42842919026998,7.349852129254865,385.3506709265176,0.04924609213118435,51.014018491563654,1477.5571884984026,249.69645261664402,2401.5773801916935,152.38095846645368,305213.15923322685,0.3004901908306713,0.005034642954912742,0.1436974953855785,451.317037308073,0.00048141557460965636,540.9400125225444,0.10422747869386785,297.7794101395048,2571.163344224112,4.531863706407974,9584.41251217171,0.01827938010197057,0.005924800259197468,5.514534465578527,2938.0444982450103,0.5674459285348985,0.6512263455394446,1.984689494198648,0.7791649951886132,2075.099662869182,0.004987094787019856,31.785185185185185,0.02616064624295077,214.0961804602957,3161.6477366255144,8125.638683127572,14903234.129218107,6.280066856282255,0.0034040885224229356,603.3473251028806,0.4965821605785026,0.7321393012630155,2396.1390253987843,0.002084811006615485,6.77900871492903,0.15527156549520768,8084.16084268997,0.2459008787785609,0.000894244685337805,4041.019486334612,0.24238343280575997,6.318797178865289
Liver_100dose_120kVp_2Safire_1-5mm,0.9972229798716961,0.312763743391131,10.05819018199127,32.15906700992788,34.731625096737865,34.486885563629926,35.63689023409086,36.34149892433419,7128.931529045105,32.06976063353383,0.6332563392187543,2828.7042359981233,0.3967921734797498,7160.442764282227,6.0,877.0,1440974471.0,3.4287283794210905,72.0,4.167311470096425,993.0,268.8417146263846,165.09853847910483,33.0,-972.0,1965.0,163.7202636728245,405.6258954910838,0.5263439855695333,1178124597.440895,0.2061341000282598,137274.83968500717,2345.948814980228,2466017.749362488,17049.154701929,777.3066829132945,31.92601195170946,0.9204549798507339,2.446730485131869,2.4918122642653104,25.6019173105521,0.6377156782166397,0.614641259323332,0.9951879575474832,0.9731838489540607,-0.34238641717790724,0.9439050576528969,0.3571599823792723,46.471198494991384,0.09738585809865187,5.486249026272743,0.959918826476751,0.23914427566850963,92.9423969899827,4.18799987020856,202.30817371625093,7.196701585129809,418.0685087919616,0.04773561415756584,42.77146312866412,1805.3224480474994,219.8561114071754,2347.5113039506737,150.08951815482988,300844.5572048413,0.3897942189228987,0.0076907493260928265,0.12365103097136483,381.5562351626256,0.0007071889969887213,766.0464390075832,0.1353239488004769,259.3296980325059,2500.8763928808444,4.05287006072164,8594.198866921377,0.02023368831129366,0.009516469038108507,5.271496646939408,2997.098678207691,0.5281939030979927,0.6400214309554341,1.498036451196745,0.7533761726515441,1960.9841945731189,0.007976235581650825,32.83902012248469,0.02873055128826307,222.80219893773122,3130.304461942257,12919.751531058617,22387902.58792651,8.825932974488468,0.008096382627051807,586.4820647419073,0.513107668190645,0.7437181590465528,2384.248006694651,0.0029009706983772732,6.681249523985232,0.13050924868691482,12861.040809093964,0.26150891403347304,0.0008238532506105837,3239.9126993358796,0.17425959275949263,6.733411024199213
Liver_100dose_120kVp_1FBP_0-6mm,0.9923641644026525,0.10343164306739651,3.3767690589692014,32.647350064514434,35.48318576689957,35.45781205245219,36.20590263844085,37.613542049804025,2404.7984181615757,32.398060266732756,0.35642353407138716,2435.39945282159,1.0127249895163388,2419.760445514228,-44.0,852.0,1312382459.0,4.2903426886645795,90.0,4.235140380821118,1017.0,268.4372164055074,125.42870658197053,37.0,-1020.0,2037.0,145.63774692047403,421.15668137113664,0.08479056685173635,429200049.1518987,0.09936116592210523,161640.58982872305,2432.760896808809,3431040.9043734465,8774.280419598314,881.6648902353767,24.596555955393132,0.9453728234972222,2.7714818841194293,2.911940636449361,16.582387287312574,0.4758818228139343,0.4191125256829571,0.9964676488001513,0.9693300141364922,-0.29781407397417115,0.9557656111716345,0.3945072199828461,47.09991979346344,0.022049487009590276,7.106167515553466,0.961728672763573,0.061750286017972694,94.19983958692684,4.985545631564876,226.56536154769253,7.316977754929058,712.7615894039735,0.09633215156155879,10.568656164035275,735.1732666576564,258.8152738721336,2425.045276388701,37.404108663332885,80942.9085011488,0.08218754366287959,0.003927105379676715,0.1818328415605444,518.8461438502873,0.0008159628375033308,538.6265277272225,0.08665854820877028,273.36468746373424,2464.8388421716913,1.6990069444828717,3995.9046348072643,0.006035991051973207,0.004127898901106201,5.152861168457077,4595.079720447915,0.7373178605026103,0.8392194371380749,0.26826766313864436,0.881650342966908,2198.159440934598,0.0037598382240274417,38.76062322946176,0.027450866309817107,335.87879035623433,2846.5842776203967,2723.693342776204,5121711.957507082,1.6695444695927817,0.005278747077764229,583.771954674221,0.41343622852281936,0.6681919388839987,1999.4504611384652,0.0029897408122997638,7.285822239374992,0.19083659954047844,2696.2348521174235,0.126983495517646,0.001438887908155685,4267.529849757198,0.1405752826047279,11.15048038716323
Liver_100dose_120kVp_1Safire_3mm,0.9852911608861922,0.5076008121467905,16.543950894143805,32.592443704285365,34.62996706814237,34.82866322241426,36.20590263844085,37.02104660656831,12069.722883224487,32.1130466935132,0.7424931376852193,3427.07187594827,0.28393956589604075,12144.464126586914,8.0,854.4000000000005,1179083376.0,3.59015398837086,138.0,4.339364141185592,948.0,261.2107623215953,158.73030833445537,34.0,-970.0,1918.0,155.50147274619889,398.4423988820403,0.32384263541232666,1928010739.47583,0.19435727078422613,133561.03444292364,2330.68526347489,2414629.805197427,10931.684076015392,756.5892137387,41.537117325861395,0.8951905328001643,3.021999670329742,2.7313086133044284,31.79239952607937,0.621034426519485,0.5946862573933728,0.9934099772144391,0.9664334576287487,-0.3458522030414009,0.9505833157871441,0.3040749660332791,46.38837899772058,0.09713918830200614,5.776177211777754,0.9426946046869956,0.25795932604448757,92.77675799544113,4.413315494649395,199.53158276614025,7.3136288657594735,358.25811229298506,0.048237257613166155,49.591870164516244,1443.4914501144474,213.83959395891202,2318.742830214084,156.30658408509493,298517.27198061126,0.5548205401832332,0.00830200308970521,0.13844633701862039,427.07725840952685,0.00047783997461641506,556.7455575209523,0.11497112802016135,253.1992920041583,2497.9813416096968,4.507210345298801,9230.09871620513,0.026053231279916714,0.009797358848311781,5.421091058740642,2646.6356449612535,0.5477788507206218,0.6411430228583858,1.8997213435065823,0.766520092998541,1998.917772236866,0.007841967903293733,31.209471766848814,0.02842392692791331,179.35129611381515,3090.4353369763207,9003.448998178506,15490866.443533698,6.603961483409401,0.005298350414691032,560.896174863388,0.5108344033364189,0.7422682473432101,2379.5306414028028,0.0010381193015649517,6.601094770140609,0.14783896593510165,8957.695725130307,0.2868830461575315,0.000885942729530109,3213.7027573266455,0.2524460096143866,5.546367041426307
Liver_100dose_100kVp_2FBP_0-6mm,0.9923641644026525,0.10343164306739651,3.3767690589692014,32.647350064514434,35.48318576689957,35.45781205245219,36.20590263844085,37.613542049804025,2404.7984181615757,32.398060266732756,0.35642353407138716,2435.39945282159,1.0127249895163388,2419.760445514228,-45.0,1009.0,1691203042.0,4.487480041978956,106.0,3.89130141558352,1216.0,311.84079408165843,158.96067036085958,42.0,-1012.0,2228.0,170.42703601960397,478.09187371055435,0.4279475212711244,553089096.684003,0.08611379470503726,203303.34498649478,2620.219627885168,5185274.850520243,24902.17718534647,1130.2275599345733,31.09500914967787,0.9461487732763276,3.1481309082620195,3.080222833204217,20.77447312992661,0.44705342904714906,0.3836681927244191,0.9963026330590558,0.9682926814645239,-0.29393129525656503,0.9595645456678162,0.36792226641172215,48.42871244502192,0.0166295173456069,7.467262962673025,0.9626771174674827,0.04738902945905247,96.85742489004382,5.183139982626672,290.33064227106286,7.377940261728491,796.3434247871334,0.10762852071727712,8.519362601299061,637.1559670225706,325.3622178133934,2617.997432085417,30.51506960400054,70100.65860251385,0.07129499964172141,0.0037147550676525755,0.20393094255452765,639.3066905639241,0.0008080592859215435,487.55598698923035,0.07673663377188442,340.2472206542019,2661.107336026018,1.5865364177915529,4030.6809536713063,0.0054965915634010935,0.003847661937449894,5.264723801471598,4852.402915627327,0.7621314997516382,0.8580785345212969,0.22049620262210176,0.8948434091974367,2409.741088590968,0.0035247643425284103,37.87073954983923,0.024354173343948057,429.86616929105367,3188.581350482315,2166.0070739549838,4122162.1395498393,1.4140938022855682,0.00435561535606479,693.3524115755627,0.44588579522544225,0.6945226587459147,2307.337205535783,0.002670218430141816,7.402129195156235,0.21016353561292067,2143.366612834855,0.10723178219674552,0.001500760222293038,5834.802485227434,0.15614695046014213,13.695178018660716
Liver_100dose_100kVp_1FBP_3mm,0.9890592322614871,0.5267784369737694,18.856299555777323,35.795503825294695,38.856660791820815,40.927634971022805,39.18458597400388,42.13504714457997,16762.478233337402,35.40387353185909,0.6946036740431382,4560.080747125613,0.2720409645667115,16835.788696289062,2.0,38.0,6123347.0,1.3620603523981043,19.0,3.039051424658281,75.0,10.94404136019812,20.14461926961927,20.0,-33.0,108.0,7.933113776971137,24.38710052682918,-0.032318361714015816,10012759.926773071,0.443287131369882,188.92498658775608,11.135106706633906,2.446000108386309,0.0076054569411216815,0.9116085190801434,0.653474184759546,0.1653977687634581,0.5574458954539194,1.2198717126850818,0.3391198519074754,0.736964679886448,0.7308756263401093,0.9827523038997548,0.9220644200473973,-0.024281238551804512,0.20437712493642193,0.4763859261047421,3.3272468102497563,0.20004139701048465,2.7051668829539848,0.16937884225421102,0.3215712807572961,6.6544936204995135,1.9697385612705647,0.3912706759599223,5.328206805925354,592.0371017871017,0.057501661012733275,22.82142290606743,4564.084304584305,0.3875105350921202,11.437839937839938,153.46348096348098,1677.472804972805,15.176099779849778,0.10205576059742728,0.03240852965144851,0.40084856604432734,0.00449412663359632,2462.6494288376957,0.3982905163234211,0.4758841503993611,11.623951551438777,4.394318824594676,48.75887179353102,0.44202505431383526,0.1045708068657606,3.064114831362882,2789.911592541714,0.4410011781603564,0.5988509353893969,1.385214466236081,0.6787686795587571,7.955882157371283,0.07311391129469356,120.91666666666667,0.41984953703703703,1.9351731288580245,11.940972222222221,159223.85416666666,1755780.423611111,15454.199604552468,0.1674295910493827,82.29861111111111,0.28575906635802467,0.548984032224545,7.527374994236098,0.08404645312387889,3.933609686968138,0.027972027972027972,157945.79166666663,67.61166334751054,0.0005815108849926936,7.32543504128194,0.011781349978868658,0.008523468727509396
Liver_100dose_100kVp_1Safire_3mm,0.9850601396665817,0.6787763296872716,23.415201218425313,34.49619586648411,39.51833738744792,39.51833738744792,41.05268638082082,42.109167185537764,18191.487201690674,33.98082751820459,0.659198594943296,5074.344966449287,0.2789406336155787,18266.569107055664,9.0,32.0,5530923.0,0.9907656824121763,11.5,3.1219618112308405,58.0,7.069728042851981,20.39790529048429,21.0,-15.0,73.0,5.138951781120505,22.251166337202598,-0.05283124910753416,9044041.46498108,0.5502954089542229,79.03986312629105,5.3770436855261625,0.750722772447022,0.1951093517313948,0.5511080764329456,0.3971505164388423,0.16242473642198663,0.3893486288072706,0.9866857011653895,0.24348030376239163,0.8066260002016267,0.806105874359522,0.9767758852853312,0.9223903371595983,-0.027558453119467037,0.19236074910658582,0.3825219771296454,2.310531005329644,0.31556561878370676,1.957140654300879,0.16295889860418244,0.47874040504112136,4.621062010659288,1.5386572467450965,0.23706464821794698,5.222235395665742,530.0507564228807,0.047448818943951365,32.436733392209796,6147.3500134276255,0.23668608279967343,5.577745949333095,229.43809864828575,1106.7489929281176,52.1540813763813,0.2131206546713216,0.017486075550620067,0.10545550576639076,0.006290105236370994,2733.724443052176,0.48900914546930774,0.2848808191846183,6.072545183180292,7.646212578912133,38.03231813630066,1.7211435667689217,0.2061421345573397,3.0435994758359337,2056.917099749244,0.35283276938312447,0.4986262506627739,2.9336769054892327,0.5933395431698416,3.8199144296945775,0.1211776781121662,50.378151260504204,0.4233458089118,1.2016100557870208,5.168067226890757,564829.1344537815,2735727.8403361347,127975.27935340803,0.5815242763772175,33.0672268907563,0.2778758562248429,0.5250079770193716,2.522793547791189,0.34509723971253115,3.615403551953127,0.01065258257989437,556016.8160440647,195.6897887102573,0.0005158709482266645,2.5064273956239727,0.014441915046834319,0.0029779507600384654
Liver_100dose_120kVp_2FBP_3mm,0.9860990911338899,0.5533148368200322,17.417642572200457,31.4787195519675,35.7803663919282,35.7803663919282,34.56544192384389,37.91776271255962,11144.212354660034,31.041136740253766,0.6994555619192871,3449.5060891394755,0.3095334133414139,11218.953598022461,10.0,842.0,1044228925.0,3.7110159868409687,159.0,4.29572524687913,969.0,256.7770764675813,168.62571053782247,38.0,-979.0,1948.0,155.91568131641685,390.12533069278675,0.45606986876882877,1707499760.2809906,0.18115312068167017,123763.14339377078,2415.563232647906,2039439.6161905762,13191.54376373613,694.7768755828341,34.75418282401458,0.9038925993338718,2.8251094297940123,2.7390153981073633,26.231930594763643,0.5937833151550735,0.5644637613010399,0.9947104657177597,0.9688328956984781,-0.3368468100096542,0.9494326735842306,0.35434112065064244,47.439862797290374,0.08405259392303178,5.897295598436179,0.9514953111312211,0.2336161645958246,94.87972559458082,4.430793270868943,182.38276460171207,7.235917987351603,382.23626293543214,0.05571145065375779,38.59321894879692,1242.8915609969392,198.31491332425855,2432.3617548462325,117.43550502842152,233933.1566826993,0.11268745402529973,0.002465445367710105,0.15314925884819158,484.5074001490701,0.0003952310458332,556.0556948765013,0.11507121386200504,229.8289110560167,2584.820483403632,3.2488722297402437,7108.206927033414,0.006059152330644555,0.0029229616073043747,5.283274260781188,2880.6358960310004,0.5947447440325446,0.6969493121657528,1.098381463957267,0.7971573015803912,2136.328238164793,0.0025910988303235135,32.123456790123456,0.028327563306987175,198.02240900932844,3184.828042328042,6925.926807760141,12406806.07936508,4.111860607340732,0.0027825995089681903,546.7460317460317,0.48213935780073347,0.7217190030792177,2372.5169754829685,0.0016246262261017388,6.723078411235655,0.16528202885876694,6889.321106631952,0.2153968924851034,0.0011515297110142675,3306.122899044177,0.22215518275243865,6.639475629434446
Liver_100dose_100kVp_2FBP_1-5mm,0.957848174795079,0.34844743353774293,11.978124524770806,34.375700240229676,35.941847563112276,38.65346152533593,38.74394208254631,39.407403310405336,9068.695037841797,32.926701732406755,0.5724687123908577,3673.631304025591,0.4050892977100105,9105.486534118652,-33.0,1008.0,2720697551.0,4.145953724620137,150.0,3.6702536279889433,1154.0,327.14382362938295,161.32629972164855,42.0,-995.0,2149.0,190.31236049164028,494.2606352512282,0.2151895990788698,2224411862.6236954,0.12739798625313287,218267.40057706847,2589.6172576590743,5989046.614107832,15113.637042959122,1271.173614866595,38.15812978869865,0.9413881468624881,3.074375842068538,2.8920933637728092,28.244362163628566,0.5345853887950432,0.49748243954039684,0.9952056893618142,0.9688436324205938,-0.3424712545614273,0.9670298506270453,0.403021023781676,47.76215056790974,0.04141302429890385,6.7379814383063525,0.964978272940438,0.13095330719899623,95.52430113581941,4.9385586027274595,327.3329361638232,7.456410267634069,757.1174463500045,0.06798217171141281,22.031945751368333,1418.8313729011404,349.2490081068818,2555.607973421927,73.16144383586244,154777.60653676934,0.43645917903462017,0.008462580383201454,0.16474508187131792,550.4067352487951,0.0008368203059877337,825.9803886658636,0.0969074954257463,376.081605023653,2663.4866897651227,2.3074974240071118,5482.799191410949,0.017381148820174715,0.008937964385526288,5.389534245673601,5579.557232593615,0.6520401416149267,0.763442716931089,0.5644723095838503,0.8333091966715711,2281.554445733985,0.007697632816252659,41.63731656184486,0.021822492956941754,325.63675042522055,3391.0697064989517,7033.081236897275,12958286.22851153,8.74213126529291,0.00650869468187374,977.8815513626835,0.5125165363536077,0.7435226659690882,2609.563327413863,0.0021546849874505437,7.08745057983961,0.1713208224836132,6999.010643423477,0.2026231748358211,0.0009231027707069482,4492.711243106906,0.20410675399182757,8.213532535545509
Liver_100dose_120kVp_1FBP_1-5mm,0.957848174795079,0.34844743353774293,11.978124524770806,34.375700240229676,35.941847563112276,38.65346152533593,38.74394208254631,39.407403310405336,9068.695037841797,32.926701732406755,0.5724687123908577,3673.631304025591,0.4050892977100105,9105.486534118652,-31.0,853.3999999999996,2135088274.0,4.019950835082387,126.0,4.01733589508203,972.0,283.0271053289151,126.67810002693723,36.0,-993.0,1965.0,161.57552774937278,437.84844116450574,-0.1016405469842796,1745624272.9695282,0.13365755786682473,175663.9164037529,2392.028924653865,4152566.4646564294,764.9339247466033,1005.6857191853463,29.788219638300475,0.9420574602599261,2.748745633974244,2.786314917312389,21.8547894370083,0.5484996823354374,0.5125593625413627,0.9954391137743397,0.9691934637208628,-0.3386812187649276,0.9628227023854706,0.4050867272920299,46.345747099041475,0.04479388898356626,6.544234927457653,0.9639246687324191,0.12583682789754305,92.691494198083,4.804189274551618,258.8684847059117,7.429309730475637,722.1518362216036,0.06484258204378232,23.68761563325253,1488.5442219628267,281.05167889946887,2359.1982580587232,79.42093921163689,164554.4456316782,0.39127287192107063,0.0076273619346063,0.15353933271434203,451.7805876104615,0.0007716278538354658,852.1745559862063,0.10148714019161796,304.2593728569829,2437.055236226743,2.422362597535229,5392.026286446297,0.016195187671756872,0.008135270194674594,5.311390383964784,5367.611575413363,0.6368845452840676,0.7513278676069375,0.6179743397008923,0.8242413068662398,2051.4044066315505,0.006965008918564812,47.986072423398326,0.026733187979609097,256.7911347677315,2994.091922005571,8052.833983286908,14608873.415598886,10.41515219205319,0.00538836070254631,862.8863509749303,0.4807166300695991,0.7206270992659803,2215.4543536390347,0.002373448344179401,6.951014236174369,0.16117446350004488,8014.338698799669,0.23817031879523395,0.000899174708099458,3393.9156982840823,0.1874813902957301,6.794251283487655
